,sna,tot,sbi,sarea,mday,ar,bemp,act
381,YouBike2.0_秀明路一段185巷口,20,5,文山區,2023-06-10 14:08:15,秀明路一段與秀明路一段185巷口,15,1
382,YouBike2.0_秀明路一段129巷口,22,2,文山區,2023-06-10 13:57:14,秀明路一段129巷與秀明路一段路口,20,1
383,YouBike2.0_恆光橋(老泉街),13,4,文山區,2023-06-10 14:18:14,老泉街/恆光街口,9,1
386,YouBike2.0_興得閱覽室,24,1,文山區,2023-06-10 14:12:14,興隆路三段304巷145號,23,1
390,YouBike2.0_仙岩公園,11,2,文山區,2023-06-10 13:50:20,仙岩路16巷37號旁,9,1
391,YouBike2.0_政大一街口,14,2,文山區,2023-06-10 11:45:16,政大一街19號對側,12,1
393,YouBike2.0_移民署訓練中心,13,1,文山區,2023-06-10 13:12:15,興隆路三段306號,12,1
394,YouBike2.0_海巡署(南側),10,0,文山區,2023-06-10 10:59:03,興隆路三段211號對側(公車亭後),10,1
395,YouBike2.0_明道國小東南側,18,3,文山區,2023-06-10 14:08:15,興隆路四段109巷116號對側,15,1
396,YouBike2.0_木南公園,12,4,文山區,2023-06-10 13:04:14,木新路二段永安街22巷口,8,1
398,YouBike2.0_師範大學公館校區_1,25,0,文山區,2023-06-10 14:12:03,師大公館校區校門口(汀州路側),25,1
400,YouBike2.0_政大水岸電梯,10,1,文山區,2023-06-10 13:52:14,政治大學水岸電梯旁,9,1
401,YouBike2.0_敦南山林,14,1,文山區,2023-06-10 14:17:38,木柵路四段159巷16弄(社區出入口對側),13,1
402,YouBike2.0_辛亥路五段73巷口,13,0,文山區,2023-06-10 14:04:04,辛亥路五段75-1號前人行道,13,1
404,YouBike2.0_萬和三號公園(北側),13,3,文山區,2023-06-10 12:26:16,溪洲街107巷(公園北側),10,1
407,YouBike2.0_師大公館校區學二舍,40,1,文山區,2023-06-10 14:18:14,臺灣師範大學學二舍西側人行道,39,1
409,YouBike2.0_萬興國小,16,1,文山區,2023-06-10 12:17:23,秀明路二段114號公車亭旁,15,1
411,YouBike2.0_景興路42巷口,12,5,文山區,2023-06-10 14:09:14,景興路42巷與景興路口西南側,7,1
412,YouBike2.0_木柵路三段48巷,15,0,文山區,2023-06-10 11:19:04,木柵路三段48巷1弄口,15,1
413,YouBike2.0_木柵路二段109巷,15,2,文山區,2023-06-10 13:36:15,木柵路二段109巷14號旁,13,1
415,YouBike2.0_萬美萬安街口,16,0,文山區,2023-06-10 10:14:04,萬美街一段/萬安街口,16,1
424,YouBike2.0_捷運臺電大樓站(1號出口),34,5,中正區,2023-06-10 14:19:13,辛亥路一段/羅斯福路三段南側,29,1
427,YouBike2.0_紀州庵,25,3,中正區,2023-06-10 14:18:14,水源路/同安街口(東側),22,1
432,YouBike2.0_捷運古亭站(8號出口),15,1,中正區,2023-06-10 14:16:15,和平西路一段13-1號前方,14,1
433,YouBike2.0_捷運古亭站(7號出口),12,1,中正區,2023-06-10 14:19:13,羅斯福路二段44號前方,11,1
437,YouBike2.0_羅斯福路二段6巷口,14,5,中正區,2023-06-10 14:13:14,羅斯福路二段/羅斯福路二段6巷口,9,1
438,YouBike2.0_金華杭州南路口,21,5,中正區,2023-06-10 14:05:15,金華街口/杭州南路二段西北側,16,1
440,YouBike2.0_捷運中正紀念堂站(4號出口),21,3,中正區,2023-06-10 14:19:13,羅斯福路一段5號前方,18,1
441,YouBike2.0_重慶南海路口西南側,16,3,中正區,2023-06-10 14:10:20,重慶南路二段與南海路口西南側,13,1
445,YouBike2.0_中華路二段409巷口,15,4,中正區,2023-06-10 14:13:14,中華路二段403號前,11,1
447,YouBike2.0_南海和平路口西南側,19,2,中正區,2023-06-10 13:59:14,南海路與和平西路二段西南側,17,1
448,YouBike2.0_莒光和平路口,20,2,中正區,2023-06-10 14:04:14,莒光路2號前,18,1
449,YouBike2.0_水源路11-1號旁,19,2,中正區,2023-06-10 13:49:14,水源路11-1號(旁),17,1
451,YouBike2.0_捷運小南門站(2號出口),18,5,中正區,2023-06-10 14:03:15,愛國西路30號之2前方,13,1
457,YouBike2.0_林森仁愛路口,13,4,中正區,2023-06-10 14:17:38,林森南路與仁愛路一段西北側,9,1
458,YouBike2.0_中正運動中心,30,1,中正區,2023-06-10 14:17:38,信義路一段1號前,29,1
460,YouBike2.0_捷運善導寺站(3號出口),20,0,中正區,2023-06-10 14:18:14,林森南路1號南側,20,1
463,YouBike2.0_捷運西門站(2號出口),36,5,中正區,2023-06-10 14:11:15,中華路一段59號旁,31,1
464,YouBike2.0_寶慶博愛路口,27,3,中正區,2023-06-10 14:19:13,博愛路162號,23,1
469,YouBike2.0_聯合醫院和平院區,32,0,中正區,2023-06-10 13:58:04,中華路二段33號旁,32,1
